current,torque
1.401113443292126348e+01,1.235124952700645551e+01
1.045184937445732309e+01,9.886571148871910353e+00
8.023752127111103860e+00,7.914022317037222365e+00
1.468268856830233782e+00,1.679977072727007803e+00
2.843460326337872601e+01,1.879166460914336056e+01
2.079069252967686054e+01,1.622736017993653235e+01
3.661147775407910032e+00,3.674912773990458792e+00
1.792450635046980523e+01,1.501584788856800046e+01
8.199582660566980152e+00,8.343280345588901525e+00
1.944214863740542754e+01,1.550187718541610238e+01
9.792577895660844689e+00,9.537294448999588781e+00
8.897396055762076372e+00,8.651507800978993856e+00
6.482760998100101091e-01,7.766104005281777578e-01
1.902487899352391310e+01,1.475654177320297933e+01
1.055082893815460920e+01,9.972438113407958937e+00
2.698929457102331142e+01,1.842503202456114053e+01
7.874941409202424580e+00,7.858789599049130992e+00
9.351673446153285774e-02,-5.922390052792103621e-02
2.363804645035845198e+01,1.749334407826106030e+01
7.951100809922460044e+00,7.828491249613022340e+00
1.283346777722938015e+01,9.840757386147254593e+00
2.742527725378099746e+01,1.853543264618745212e+01
1.136888751497160754e+01,1.059379113136382244e+01
2.480800621999557087e+00,2.823368131946515369e+00
2.072635088402289050e+00,2.238245228934714337e+00
1.327677601798266238e+01,1.195673927855622587e+01
1.310752806120059510e+01,1.157263539375076178e+01
2.274947770456482488e+01,1.705297609987244201e+01
2.976044002879829264e+01,1.913840121728094701e+01
1.480049388719685233e+01,1.295371512999604136e+01
2.872079079552446679e+00,3.766719138561227531e+00
2.395055965811712895e+01,1.703261710098843551e+01
8.849683024468385284e+00,8.569482302429600296e+00
6.522290689045152412e+00,6.124340182441411429e+00
2.555786837057227245e+01,1.875147470905318059e+01
7.833015700225975930e-01,1.133740033808062764e+00
1.665902523838819960e+01,1.386835615487401263e+01
2.693846553553537504e+01,1.815714348969677161e+01
9.797942693452705853e+00,9.175712037948159150e+00
2.520023042615459374e+01,1.859049488085133817e+01
8.315254632157243364e+00,8.118700152893762123e+00
4.272114293183562950e+00,4.447597511624693745e+00
